Scientific_Name,Common_Name,Site_01,Abundance_Score_01,Site_02,Abundance_Score_02,Site_03,Abundance_Score_03,Site_04,Abundance_Score_04,Site_05,Abundance_Score_05,Site_06,Abundance_Score_06,Site_07,Abundance_Score_07,Site_08,Abundance_Score_08,Abundance_Score_AVG,Present_1980,Present_2004,Present_2022
Acmaea mitra ,Whitecap limpet,1,3,1,2,0,0,0,0,0,0,1,3,0,0,0,0,,1,0,1
Acrosiphonia spp.              ,Green Rope Seaweed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0
Agriodesma saxicola ,Wrinkled rock clam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0
Alaria marginata              ," Winged Kelp, Bladderlocks",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0
Amphipoda (order) ,Scuds,1,3,0,3,1,3,1,3,1,3,1,3,1,3,1,0,,0,1,1
Amphissa columbiana ,Wrinkled dove snail,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,,1,1,1
Analipus japonicus                 ,Sea Fir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0
Anthopleura elegantissima*,Aggregating anemone,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,0,0,1
Archidoris montereyensis ,Sea lemon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0
Balanus glandula ,Acorn Barnacle,1,4,1,4,1,4,0,4,1,4,1,1,4,1,4,1,,1,1,1
Batillaria attramentaria*,Mudflat Snail,1,2,1,2,1,2,1,2,1,1.5,1,1.25,1,1,1,1,,0,0,1
Bittium eschrichtii (neostylidium)**,Screw snail,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,,0,1,1
Boltenia villosa ,Spiny-headed tunicate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0
Brachiopoda ,Lamp Shells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0
Calliostoma ligatum, Blue top snail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0
Callophyllis spp. ,"Carola, Red Sea Fan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0
Cancer oregonensis ,Pygmy rock crab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0
Cancer productus, Red rock crab,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,,1,1,1
Ceratostoma foliatum ,Leafy hornmouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0
Chlamys hastata ,"Spiny scallop, spear scallop",0,0,0,0,0,0,0,0,0,0,1,1.5,0,0,0,0,,1,0,1
Chondrocanthus exasperata ,Turkish Towel,1,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,,0,1,1
Chthamalus dalli ,Little brown barnacle ,1,3,1,1.5,0,0,0,0,1,2,0,0,1,2,1,2,,0,1,1
Cladophora columbiana         ,Mekong Weed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0
Clinocardium nuttallii ,Heart cockle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0
Cnemidocarpa finmarkiensis ,Broad base sea squirt,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,0,1,1
Constantinea spp. ,Cup and Saucer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0
Coraline Crustulose Algae,CCA,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,0,0,1
Corella willmeriana ,Icy tunicate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0
Costaria costata                     ,"Five-Ribbed Kelp, Seersucker Kelp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0
